study_num,mu,se,lb,ub,k,note,delta_mu
63,1.1193529665381046e-5,5.255239327103404e-7,1.0162552866134155e-5,1.2224506464627937e-5,1289,NA,-0.04025639239224577
57,1.2753428453800223e-5,5.512047508090831e-7,1.1672048229978518e-5,1.3834808677621928e-5,1261,NA,-0.040254832493457356
20,1.3436319691375568e-5,5.60428455284064e-7,1.2336858029598378e-5,1.453578135315276e-5,1278,NA,-0.04025414960221978
15,1.3503681350988782e-5,5.613111186633371e-7,1.2402487240811899e-5,1.4604875461165665e-5,1277,NA,-0.040254082240560166
22,1.3509629862882363e-5,5.613880529434406e-7,1.2408293758240291e-5,1.4610965967524435e-5,1288,NA,-0.040254076292048274
45,1.3529550579914563e-5,5.61650261609855e-7,1.2427687015237597e-5,1.463141414459153e-5,1272,NA,-0.04025405637133124
51,1.3535742479125826e-5,5.617313105844455e-7,1.2433697973169685e-5,1.4637786985081968e-5,1246,NA,-0.040254050179432024
60,1.3538056752801194e-5,5.617610633713143e-7,1.2435959871798756e-5,1.4640153633803632e-5,1253,NA,-0.04025404786515835
33,1.5694280727050864e-5,6.383000997202573e-7,1.4442055126914889e-5,1.694650632718684e-5,1285,NA,-0.040251891641184104
76,1.60197174230996e-5,5.967551966627391e-7,1.4848977686787917e-5,1.7190457159411282e-5,1265,NA,-0.040251566204488054
30,1.8685209079387665e-5,6.267364472834105e-7,1.7455600286304576e-5,1.9914817872470754e-5,1213,NA,-0.04024890071283176
23,0.013168638547194076,0.004176380773332848,0.004975298684081466,0.021361978410306688,1275,NA,-0.027098947374717075
31,0.015336894492822918,0.0054686532597226925,0.004608441603377563,0.026065347382268275,1288,NA,-0.024930691429088235
58,0.01544360298319709,0.005507064706016538,0.004639722556546497,0.026247483409847686,1279,NA,-0.024823982938714063
71,0.01591788503355896,0.005672908498178309,0.004788697913329601,0.02704707215378832,1285,NA,-0.024349700888352192
68,0.016772481805179124,0.0058949900846728765,0.005207671247462898,0.02833729236289535,1292,NA,-0.02349510411673203
4,0.017464035601609616,0.007402493405960075,0.0029416615445756154,0.03198640965864362,1279,NA,-0.022803550320301538
32,0.01752691764034647,0.0059688261989349215,0.005817125982221741,0.0292367092984712,1277,NA,-0.022740668281564683
16,0.017639488871600776,0.00584712046433887,0.006168572387807384,0.029110405355394168,1290,NA,-0.022628097050310377
80,0.017723998520731917,0.007373603961055033,0.003258406874931813,0.03218959016653202,1289,NA,-0.022543587401179236
69,0.017759621750246243,0.005973062309953766,0.00604164884921406,0.029477594651278426,1292,NA,-0.02250796417166491
61,0.017817620283926448,0.005966225786458461,0.006112607541347317,0.02952263302650558,1241,NA,-0.022449965637984706
25,0.01782605399755192,0.007829901212039601,0.002461848929270408,0.033190259065833436,1041,NA,-0.022441531924359232
13,0.017874706953742846,0.007437872440429568,0.0032827833799243117,0.03246663052756138,1266,NA,-0.022392878968168307
70,0.01789108973085958,0.0073039827958833745,0.00356206044949277,0.03222011901222639,1287,NA,-0.022376496191051573
53,0.017927211084342407,0.00596603027226813,0.006222843246467645,0.02963157892221717,1270,NA,-0.022340374837568747
72,0.017947662649033188,0.005962760298832759,0.006249883234713689,0.029645442063352685,1290,NA,-0.022319923272877965
18,0.017965459498396973,0.0059621582031654805,0.006268608259840384,0.02966231073695356,1261,NA,-0.02230212642351418
37,0.01796919097861784,0.005961277680508194,0.0062739953396582036,0.029664386617577476,1253,NA,-0.022298394943293314
67,0.017983292317025196,0.005960643490622543,0.006289544991769055,0.029677039642281335,1276,NA,-0.022284293604885957
49,0.017992885309923184,0.005965466869368695,0.006289471066510295,0.029696299553336074,1253,NA,-0.02227470061198797
46,0.017998408557383192,0.005957073565616543,0.0063115147427146405,0.029685302372051744,1259,NA,-0.02226917736452796
24,0.018000403203975508,0.0059589061883459395,0.006310107554078589,0.029690698853872426,1281,NA,-0.022267182717935645
3,0.01800076014735575,0.005955799215242788,0.006316533836821509,0.029684986457889993,1278,NA,-0.022266825774555403
48,0.018001554417395087,0.005960088823163115,0.006308618387794748,0.029694490446995424,1245,NA,-0.022266031504516066
38,0.01800273267125925,0.005960293997633585,0.0063089666988186705,0.02969649864369983,1200,NA,-0.022264853250651903
19,0.018004227189774798,0.005960052281732822,0.0063115783804447954,0.0296968759991048,1269,NA,-0.022263358732136355
62,0.01800656080210641,0.0059594852425855094,0.0063151291525739995,0.029697992451638823,1281,NA,-0.022261025119804743
9,0.018007477696468037,0.005958444293595991,0.006318139818721315,0.02969681557421476,1287,NA,-0.022260108225443116
73,0.018007815819649244,0.005959674013680709,0.0063159442385070375,0.02969968740079145,1273,NA,-0.02225977010226191
1,0.018007860607745178,0.005959713690715125,0.006316040971577213,0.029699680243913142,1288,NA,-0.022259725314165976
7,0.018007944619777238,0.005957920412938103,0.006319582882849874,0.029696306356704602,1281,NA,-0.022259641302133915
28,0.018008671900218036,0.005966528963730578,0.006303430392760878,0.029713913407675194,1282,NA,-0.022258914021693117
82,0.01801301917923376,0.005958927356140997,0.006322370944948233,0.02970366741351929,1246,NA,-0.022254566742677392
74,0.018020250709130787,0.005953441587158194,0.006340692863240578,0.029699808555020996,1283,NA,-0.022247335212780366
17,0.018031210292661904,0.007383757055194348,0.003545657785696597,0.03251676279962721,1285,NA,-0.02223637562924925
11,0.01812958061912117,0.007380466967164792,0.0036504932817406997,0.03260866795650164,1286,NA,-0.022138005302789983
2,0.01824308762064546,0.007385220255287866,0.00375465393362915,0.03273152130766177,1284,NA,-0.022024498301265693
52,0.018248497412712388,0.007396679202106224,0.0037375297884273163,0.03275946503699746,1279,NA,-0.022019088509198766
26,0.01824939557480098,0.007379526493190396,0.0037721532703804024,0.03272663787922156,1286,NA,-0.022018190347110174
6,0.018251990788530827,0.00738436947718724,0.003765226170501925,0.032738755406559725,1284,NA,-0.022015595133380327
5,0.018252158084970285,0.007391708637786187,0.0037509633015022827,0.032753352868438286,1281,NA,-0.022015427836940868
81,0.018758026701062507,0.0073387150406666645,0.004360859341278006,0.03315519406084701,1287,NA,-0.021509559220848646
